City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Pamyat Parizhskoy Kommuny,RU,64.35,clear sky,56.1048,44.4952,House in the Shva Valley
225,Xingyi,CN,59.85,broken clouds,24.1877,102.817,
226,Korla,CN,82.76,clear sky,41.7597,86.1469,Gulisitan Hotel
227,Kahului,US,80.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
228,Mehamn,NO,53.51,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
229,Pokrovsk,UA,58.05,few clouds,48.282,37.1758,Druzhba
230,Safaga,EG,88.83,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
231,Ranong,TH,77.7,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
232,Latung,PH,82.8,broken clouds,5.5,120.8833,
234,Merauke,ID,76.24,overcast clouds,-8.4667,140.3333,
235,Darlowo,PL,63.66,few clouds,54.421,16.4107,Hotel Lidia SPA & Wellness
240,Cayenne,GF,86.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Broome,US,88.56,few clouds,42.2506,-75.833,Chenango Valley State Park
242,Sarangani,PH,82.4,few clouds,5.4033,125.4636,JVL Inn and Cafeteria
243,Svetlogorsk,BY,63.07,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
244,Lagoa,PT,72.81,overcast clouds,39.05,-27.9833,Casa Das Faias
245,La Ronge,CA,57.45,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
246,Vrede,ZA,56.37,overcast clouds,-27.4257,29.1659,Vrede Hotel
247,Dwarka,IN,82.17,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
248,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
249,Safonovo,RU,62.71,scattered clouds,55.15,33.2167,"Motel' ""Kristal"""
250,Norilsk,RU,67.42,broken clouds,69.3535,88.2027,NordHostel
251,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
253,Broken Hill,AU,55.06,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
254,Pelotas,BR,71.62,broken clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
255,Yuancheng,CN,63.84,clear sky,36.652,107.7896,
256,Vanavara,RU,59.38,overcast clouds,60.34,102.2797,
258,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
259,Berdigestyakh,RU,59.88,overcast clouds,62.0989,126.6992,
260,Ballina,AU,60.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
261,Prieska,ZA,62.4,broken clouds,-29.6641,22.7474,Avenue GuestHouse
262,Manjacaze,MZ,62.82,clear sky,-24.7117,33.8828,Hotel Gani
263,Rossland,CA,81.91,overcast clouds,49.0831,-117.8022,Prestige Mountain Resort Rossland
264,Uarini,BR,84.78,overcast clouds,-2.99,-65.1083,
265,Macklin,CA,64.74,broken clouds,52.3334,-109.9348,Macklin Motor Inn
266,Slave Lake,CA,60.78,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
